line,station
31,"Rollingergrund, Stand De Tir"
31,"Rollingergrund, Roudebierg"
31,"Rollingergrund, Val St André"
31,"Rollingergrund, Val Fleuri"
31,"Rollingergrund, Beim Klomp"
31,"Rollingergrund, Bei Der Fiels"
31,"Rollingergrund, Biischtefabrik"
31,"Centre, Stäreplaz"
31,"Belair, Wampach"
31,"Centre, Monterey"
31,"Centre, Martyrs"
31,"Centre, Paris/Zitha"
31,"Luxembourg, Gare Centrale"
31,"Luxembourg, Gare Rocade"
31,"Verlorenkost, Laboratoire"
31,"Verlorenkost, Lavoisier"
31,"Verlorenkost, Aloyse Meyer"
31,"Bonnevoie, Pierre Hentges"
31,"Bonnevoie, Fraternité"
31,"Bonnevoie, Émile Duployé"
31,"Bonnevoie, Chalop"
31,"Bonnevoie, Baden-Powell"
31,"Bonnevoie, Egalité"
31,"Bonnevoie, Carignan"
32,"Bonnevoie, Carignan"
32,"Strassen, Oricher-Hoehl"
32,"Strassen, Cité Pescher"
32,"Strassen, Schafsstrachen"
32,"Reckenthal, Gäertnerei"
32,"Rollingergrund, Steekaul"
32,"Rollingergrund, Stand De Tir"
32,"Rollingergrund, Roudebierg"
32,"Rollingergrund, Val St André"
32,"Rollingergrund, Val Fleuri"
32,"Rollingergrund, Beim Klomp"
32,"Rollingergrund, Bei Der Fiels"
32,"Rollingergrund, Biischtefabrik"
32,"Centre, Stäreplaz"
32,"Belair, Wampach"
32,"Centre, Monterey"
32,"Centre, Martyrs"
32,"Centre, Paris/Zitha"
32,"Luxembourg, Gare Centrale"
32,"Luxembourg, Gare Rocade"
32,"Verlorenkost, Laboratoire"
32,"Verlorenkost, Lavoisier"
32,"Verlorenkost, Aloyse Meyer"
32,"Bonnevoie, Pierre Hentges"
32,"Bonnevoie, Fraternité"
32,"Bonnevoie, Émile Duployé"
32,"Bonnevoie, Chalop"
32,"Bonnevoie, Baden-Powell"
32,"Bonnevoie, Egalité"
32,"Bonnevoie, Carignan"
CN1,"Cents, Tawioun"
CN1,"Cents, Waassertuerm"
CN1,"Cents, Camille Polfer"
CN1,"Cents, Carmel"
CN1,"Cents, Trèves"
CN1,"Cents, Kierch"
CN1,"Cents, Tawioun"
CN2,"Centre, Fondation Pescatore"
CN2,"Limpertsberg, Lycée Robert Schuman"
CN2,"Limpertsberg, Lycée De Garçons"
CN2,"Limpertsberg, Alen Tramsschapp"
CN2,"Limpertsberg, Square André"
CN2,"Limpertsberg, Batty Weber"
CN2,"Luxembourg, Uni Campus Limpertsberg"
CN2,"Limpertsberg, Ermesinde"
CN2,"Limpertsberg, Henri VII"
CN2,"Limpertsberg, Glacis/Nikloskierfecht"
CN2,"Luxembourg, Square New York"
CN2,"Belair, Archiducs"
CN2,"Belair, Amsterdam"
CN2,"Belair, Kierch"
CN2,"Belair, Oradour"
CN2,"Merl, Kiirfecht"
CN2,"Merl, Laang Heck"
